CompanyName,CEO,YearEstablished,Description,Industry
ACCO Brands Corporation,Mr. Boris Y. Elisman,1954,"ACCO Brands Corporation designs, manufactures, and markets consumer, school, technology, and office products. It operates through three segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The company provides computer and gaming accessories, calendars, planners, dry erase boards, school notebooks, and janitorial supplies; storage and organization products, such as three-ring and lever-arch binders, sheet protectors, and indexes; laminating, binding, and shredding machines; writing instruments and art products; stapling and punching products; and do-it-yourself tools. It offers its products under the AT-A-GLANCE, Barrilito, Derwent, Esselte, Five Star, Foroni, GBC, Hilroy, Kensington, Leitz, Marbig, Mead, NOBO, PowerA, Quartet, Rapid, Rexel, Swingline, Tilibra, TruSens, Spirax, and Wilson Jones brand names. The company markets and sells its products through various channels, including mass retailers; e-tailers; discount, drug/grocery, and variety chains; warehouse clubs; hardware and specialty stores; independent office product dealers; office superstores; wholesalers; contract stationers; and technology specialty businesses, as well as sells products directly to commercial and consumer end-users through its e-commerce platform and direct sales organization. ACCO Brands Corporation was founded in 1893 and is headquartered in Lake Zurich, Illinois.",Business Equipment & Supplies
"Accel Entertainment, Inc.",Mr. Andrew Harry Rubenstein,1965,"Accel Entertainment, Inc., together with its subsidiaries, operates as a distributed gaming operator in the United States. It is involved in the installation, maintenance, and operation of video game terminals; redemption devices that disburse winnings and contain automated teller machine (ATM) functionality; and other amusement devices in authorized non-casino locations, such as restaurants, bars, taverns, convenience stores, liquor stores, truck stops, and grocery stores. The company also provides licensed establishment partners with gaming solutions that appeal to players who patronize those businesses. In addition, it operates stand-alone ATMs in gaming and non-gaming locations, as well as amusement devices, including jukeboxes, dartboards, pool tables, pinball machines, and other related entertainment equipment. As of December 31, 2020, the company operated 12,247 video gaming terminals across 2,435 locations in Illinois. Accel Entertainment, Inc. is headquartered in Burr Ridge, Illinois.",Gambling
Acer Therapeutics Inc.,Mr. Christopher  Schelling,1963,"Acer Therapeutics Inc., a pharmaceutical company, focuses on the acquisition, development, and commercialization of therapies for serious rare and life-threatening diseases. Its pipeline includes four clinical-stage candidates: EDSIVO for the treatment of vascular Ehlers-Danlos Syndrome in patients with a confirmed type III collagen mutation; ACER-001, a formulation of sodium phenylbutyrate for the treatment of various inborn errors of metabolism, including urea cycle disorders and maple syrup urine disease; ACER-801 (osanetant) for the treatment of induced Vasomotor Symptoms; and ACER-2820 (emetine), a host-directed therapy against a variety of infectious diseases, including COVID-19. The company has a research collaboration agreement with the National Center for Advancing Translational Sciences (NCATS) to develop emetine hydrochloride as a potential treatment for patients with COVID-19; and a license agreement with Sanofi to acquire worldwide rights to osanetant, a clinical-stage, selective, and non-peptide tachykinin NK3 receptor antagonist. Acer Therapeutics Inc. was founded in 2013 and is headquartered in Newton, Massachusetts.",Biotechnology
"Adicet Bio, Inc.","Mr. Chen  Schor CPA, M.B.A., MBA, CPA, BA",1955,"Adicet Bio, Inc., a biotechnology company, discovers and develops allogeneic gamma delta T cell therapies for cancer and other diseases. The company offers gamma delta T cells engineered with chimeric antigen receptors and T cell receptor-like antibodies to enhance selective tumor targeting, facilitate innate and adaptive anti-tumor immune response, and enhance persistence for durable activity in patients. Its lead product in pipeline includes ADI-001, which is in Phase 1 clinical study for the treatment of non-Hodgkin's lymphoma. The company also engages in the development of ADI-002, which is undergoing preclinical studies for the treatment of various solid tumors, including hepatocellular carcinoma, gastric cancer, and squamous cell carcinoma of the lung. The company is based in Boston, Massachusetts.",Biotechnology
ACE Convergence Acquisition Corp.,Mr. Behrooz  Abdi,1954,"ACE Convergence Acquisition Corp. does not have significant operations. It focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or other similar business combination with one or more businesses. The company was incorporated in 2020 and is based in Wilmington, Delaware.",Shell Companies
ACE Convergence Acquisition Corp.,Mr. Behrooz  Abdi,1957,"ACE Convergence Acquisition Corp. does not have significant operations. It focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or other similar business combination with one or more businesses. The company was incorporated in 2020 and is based in Wilmington, Delaware.",Shell Companies
Arch Capital Group Ltd.,Mr. Marc  Grandisson,1980,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile, and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides reinsurance for third party liability and workers' compensation exposures; marine and aviation reinsurance; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was founded in 1995 and is based in Pembroke, Bermuda.",Insurance—Diversified
Arch Capital Group Ltd.,Mr. Marc  Grandisson,1975,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile, and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides reinsurance for third party liability and workers' compensation exposures; marine and aviation reinsurance; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was founded in 1995 and is based in Pembroke, Bermuda.",Insurance—Diversified
Arch Capital Group Ltd.,Mr. Marc  Grandisson,1952,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile, and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides reinsurance for third party liability and workers' compensation exposures; marine and aviation reinsurance; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was founded in 1995 and is based in Pembroke, Bermuda.",Insurance—Diversified
Aluminum Corporation of China Limited,Mr. Runzhou  Zhu,1989,"Aluminum Corporation of China Limited, together with its subsidiaries, manufactures and sells alumina, primary aluminum, and energy products in the People's Republic of China. The company operates through Alumina, Primary Aluminum, Trading, and Energy segments. The Alumina segment mines for and purchases bauxite and other raw materials; and produces and sells alumina, as well as refined alumina. The Primary Aluminum segment procures alumina and other raw materials, supplemental materials, and electrical power; and produces and sells aluminum and aluminum-related products, such as carbon, aluminum alloy, and other electrolytic aluminum products. The Trading segment trades in alumina, primary aluminum, aluminum fabrication products, other non-ferrous metal products, coal products, raw and supplemental materials; and provides logistics and transport services to external customers. The Energy segment engages in coal mining; and generates and sells electricity using thermal power, wind power, and solar power sources to regional power grid corporations, as well as manufactures power related equipment. The company also acquires, manufactures, and distributes bauxite mines and limestone ore; and provides engineering project management, and research and development services. Aluminum Corporation of China Limited was incorporated in 2001 and is headquartered in Beijing, the People's Republic of China.",Aluminum
"Acadia Healthcare Company, Inc.",Ms. Debra K. Osteen,1993,"Acadia Healthcare Company, Inc. develops and operates inpatient psychiatric facilities, residential treatment centers, group homes, substance abuse facilities, and outpatient behavioral healthcare facilities to serve the behavioral health and recovery needs of communities in the United States and Puerto Rico. The company operates acute inpatient psychiatric facilities, which cares to stabilize patients that are either threat to themselves or others by hourly observation, daily intervention, and monitoring by psychiatrists; and specialty treatment facilities, including residential recovery and eating disorder facilities, and comprehensive treatment centers that provide continuum care for adults with addictive disorders and co-occurring mental disorders. It also provides residential treatment centers, which treat patients with behavioral disorders in a non-hospital setting, including outdoor programs; and outpatient community-based services, such as community-based programs that are designed to offer therapeutic treatment to children and adolescents who have a clinically-defined emotional, psychiatric, or chemical dependency disorders. In addition, the company provides education and children's, and adult care services. As of March 31, 2021, it operated a network of 228 behavioral healthcare facilities with approximately 10,000 beds. The company was founded in 2005 and is headquartered in Franklin, Tennessee.",Medical Care Facilities
Achilles Therapeutics plc,Dr. Iraj  Ali,1983,"Achilles Therapeutics Plc, a clinical stage immuno-oncology biopharmaceutical company, develops precision T cell therapies to treat various types of solid tumors. The company's lead product candidates include CHIRON, which is in Phase I/IIa clinical trial for use in the treatment of advanced non-small cell lung cancer; and THETIS, a product candidate in Phase I/IIa clinical trial for use in the treatment of metastatic or recurrent melanoma. It is also developing products for use in the treatment of head and neck squamous cell carcinoma, renal cell carcinoma, triple negative breast cancer, and bladder cancer. The company was founded in 2016 and is headquartered in London, the United Kingdom.",Biotechnology
Archer Aviation Inc.,Mr. Brett  Adcock,1997,"Archer Aviation Inc., an urban air mobility company, engages in designs, manufactures, and operates electric vertical takeoff and landing aircrafts to carry passengers. The company was incorporated in 2018 and is headquartered in Palo Alto, California.",Aerospace & Defense
"Achieve Life Sciences, Inc.",Dr. Richard A. B. Stewart,1957,"Achieve Life Sciences, Inc., a clinical-stage pharmaceutical company, develops and commercializes of cytisinicline for smoking cessation and nicotine addiction in the United States and internationally. The company offers cytisinicline, a plant-based alkaloid that interacts with nicotine receptors in the brain to help reduce the severity of nicotine withdrawal symptoms. It has license agreements with Sopharma AD and University of Bristol. The company is based in Vancouver, Canada.",Biotechnology
"Albertsons Companies, Inc.",Mr. Vivek  Sankaran,1977,"Albertsons Companies, Inc., through its subsidiaries, engages in the operation of food and drug stores in the United States. The company's food and drug retail stores offer grocery products, general merchandise, health and beauty care products, pharmacy, fuel, and other items and services. As of February 27, 2021, it operated 2,277 stores under various banners, including Albertsons, Safeway, Vons, Pavilions, Randalls, Tom Thumb, Carrs, Jewel-Osco, Acme, Shaw's, Star Market, United Supermarkets, Market Street, Haggen, Kings Food Markets, and Balducci's Food Lovers Market; and 1,727 pharmacies, 1,313 in-store branded coffee shops, 400 adjacent fuel centers, 22 distribution centers, and 20 manufacturing facilities, as well as various digital platforms. The company was founded in 1860 and is headquartered in Boise, Idaho. Albertsons Companies, Inc. is a subsidiary of Albertsons Investor Holdings LLC.",Grocery Stores
Atlas Crest Investment Corp. II,Mr. Michael  Spellacy,1971,"Atlas Crest Investment Corp. II does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses. The company was incorporated in 2020 and is based in New York, New York.",Shell Companies
AC Immune SA,Dr. Andrea  Pfeifer,1992,"AC Immune SA, a clinical stage biopharmaceutical company, discovers, designs, and develops medicines and diagnostic products for the prevention and treatment of neurodegenerative diseases associated with protein misfolding. Its SupraAntigen and Morphomer platforms are designed to generate vaccines, antibodies, and small molecules, which selectively interact with misfolded proteins that are common in a range of neurodegenerative diseases. The company is developing Crenezumab, a humanized, conformation-specific monoclonal antibody, which is in Phase II clinical prevention trial for the treatment of Alzheimer's disease (AD). It is also developing ACI-24, an anti-Abeta vaccine candidate that is in Phase II clinical study for AD, as well as completed Phase Ib clinical study for Down syndrome; ACI-35, an anti-Tau vaccine candidate that has completed Phase Ib clinical study; and Tau- positron emission tomography (PET) imaging tracer, which is in Phase II clinical study. In addition, the company is researching and developing small molecule Tau aggregation inhibitors for AD and NeuroOrphan indications. Further, it has discovery and preclinical stage molecules targeting range of neurodegenerative diseases, which include diagnostics targeting TDP-43, alpha-synuclein, and NLRP3. The company has license agreements and collaborations with Genentech, Inc.; Biogen International GmbH; Janssen Pharmaceuticals, Inc.; Life Molecular Imaging SA; Eli Lilly and Company; and WuXi Biologics. AC Immune SA was incorporated in 2003 and is headquartered in Lausanne, Switzerland.",Biotechnology
"ACI Worldwide, Inc.",Mr. Odilon  Almeida,1993,"ACI Worldwide, Inc., a software company, develops, markets, installs, and supports a range of software products and solutions for facilitating electronic payments to banks, financial intermediaries, merchants, and billers worldwide. The company offers ACI Acquiring, a merchant management system to deliver digital innovation, improve fraud prevention, and reduce interchange fees; ACI Issuing, a digital payments issuing solution; and ACI Enterprise Payments Platform that provides payment processing and orchestration capabilities for digital payments. It also provides ACI Low Value Real-Time Payments, a platform for processing real-time payments; and ACI High Value Real-Time Payments, a payments engine that offers multi-bank, multi-currency, 24x7 payment processing, and SWIFT messaging. In addition, the company offers ACI Omni Commerce, a scalable, omni-channel payment processing platform; ACI Secure eCommerce solution; ACI Fraud Management, a real-time approach to fraud management; ACI Digital Business Banking, a cloud-based digital banking platform; and ACI Speedpay, an integrated suite of digital billing, payment, disbursement, and communication services. The company offers electronic bill presentment and payment services to consumer finance, insurance, healthcare, higher education, utility, government, and mortgage sectors; implementation services, including product installations and configurations, and custom software modifications; and business and technical consultancy, on-site support, product education, and testing services, as well as distributes or acts as a sales agent for software developed by third parties. It markets its products under the ACI Worldwide brand. ACI Worldwide, Inc. has a strategic partnership with RocketFuel Blockchain, Inc. The company was formerly known as Transaction Systems Architects, Inc. and changed its name to ACI Worldwide, Inc. in July 2007. The company was founded in 1975 and is based in Miami, Florida.",Software—Infrastructure
Ackrell SPAC Partners I Co.,Mr. Jason M. Roth,1967,"Ackrell SPAC Partners I Co. does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company intends to focus on alcoholic and non-alcoholic beverage and wellness sectors. Ackrell SPAC Partners I Co. was founded in 2018 and is Claymont, Delaware.",Shell Companies
Ackrell SPAC Partners I Co.,Mr. Jason M. Roth,1971,"Ackrell SPAC Partners I Co. does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company intends to focus on alcoholic and non-alcoholic beverage and wellness sectors. Ackrell SPAC Partners I Co. was founded in 2018 and is Claymont, Delaware.",Shell Companies
"Axcelis Technologies, Inc.",Ms. Mary G. Puma,1953,"Axcelis Technologies, Inc. designs, manufactures, and services ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States, Europe, and Asia. The company offers high energy, high current, and medium current implanters for various application requirements. It also provides aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services, and customer training. It sells its equipment and services to semiconductor chip manufacturers through its direct sales force. The company was founded in 1978 and is headquartered in Beverly, Massachusetts.",Semiconductor Equipment & Materials
AECOM,Mr. W. Troy Rudd,1994,"AECOM, together with its subsidiaries, delivers professional services to program and construction management in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Americas, International, and AECOM Capital. The company engages in planning, consulting, architectural, engineering, and construction management services for commercials and governments clients. It also invests in and develops real estate projects. In addition, the company provides building construction and energy, as well as infrastructure and industrial construction services. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was founded in 1980 and is headquartered in Los Angeles, California.",Engineering & Construction
"ACM Research, Inc.",Dr. David Hui  Wang Ph.D.,1993,"ACM Research, Inc., together with its subsidiaries, develops, manufactures, and sells single-wafer wet cleaning equipment for enhancing the manufacturing process and yield for integrated chips worldwide. It offers space alternated phase shift technology for flat and patterned wafer surfaces, which employs alternating phases of megasonic waves to deliver megasonic energy in a uniform manner on a microscopic level; timely energized bubble oscillation technology for patterned wafer surfaces at advanced process nodes, which provides cleaning for 2D and 3D patterned wafers with fine feature sizes; Tahoe technology for delivering cleaning performance using less sulfuric acid and hydrogen peroxide; and electro-chemical plating technology for advanced metal plating. The company markets and sells its products under the Ultra C brand name through direct sales force and third-party representatives. ACM Research, Inc. was incorporated in 1998 and is headquartered in Fremont, California.",Semiconductor Equipment & Materials
Accenture plc,Mr. David P. Rowland,1954,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utility sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. It has an agreement with Duke Energy Corporation for the development of a technology platform designed to measure actual baseline methane emissions from natural gas distribution systems. The company was incorporated in 2009 and is based in Dublin, Ireland.",Information Technology Services
ACNB Corporation,Mr. James P. Helt,1969,"ACNB Corporation, a financial holding company, provides banking, insurance, and financial services to individual, business, and government customers in the United States. The company offers checking, savings, and money market deposit accounts, as well as time deposits and debit cards. It also provides commercial lending products, such as commercial mortgages, real estate development and construction loans, accounts receivable and inventory financing, and agricultural and governmental loans; consumer lending products comprising home equity loans and lines of credit, automobile and recreational vehicle loans, manufactured housing loans, and personal lines of credit; and mortgage lending programs consisting of personal residential mortgages, and residential construction and investment mortgage loans. In addition, the company provides estate settlement services; other services that are related to testamentary trusts, life insurance trusts, charitable remainder trusts, guardianships, powers of attorney, custodial accounts, and investment management and advisory accounts; and retail brokerage services. Further, it acts as a trustee to invest in, protect, manage, and distribute financial assets. Additionally, the company offers property and casualty, group life, and health insurance products to commercial and individual clients; and online, telephone, and mobile banking, as well as automated teller machine services. As of December 31, 2020, it operated through a network of 20 community banking offices located in Pennsylvania, including 13 offices in Adams county, 5 offices in York county, 1 office in Cumberland County, and 1 office in Franklin County; 5 community banking offices located in Frederick County and 7 community banking offices located in Carroll county, Maryland; and loan offices located in Lancaster and York, Pennsylvania, and Hunt Valley, Maryland. The company was founded in 1857 and is headquartered in Gettysburg, Pennsylvania.",Banks—Regional
"Acorda Therapeutics, Inc.",Dr. Ron  Cohen M.D.,1960,"Acorda Therapeutics, Inc., a biopharmaceutical company, develops and commercializes therapies for neurological disorders in the United States. The company markets Ampyra (dalfampridine), an oral drug to improve walking in patients with multiple sclerosis (MS); Selincro for the treatment of alcohol dependence; and Inbrija for the treatment of OFF periods in Parkinson's disease in Europe. It also markets Ampyra as Fampyra in Europe, Asia, and the Americas. In addition, the company develops ARCUS product for the treatment of acute migrain; rHIgM22, which has completed Phase I clinical trial for the treatment of MS; and Cimaglermin alfa for heart failure patients. The company has collaboration and license agreement with Biogen Inc. for the development and commercialization of Ampyra. Acorda Therapeutics, Inc. was incorporated in 1995 and is headquartered in Ardsley, New York.",Biotechnology
Aberdeen Income Credit Strategies Fund,Mr. Randolph Scott Takian,1996,"Avenue Income Credit Strategies Fund is a closed-ended fixed income fund launched and managed by Aberdeen Asset Managers Limited. It is co-managed by Aberdeen Standard Investments Inc. The fund invests in fixed income markets across the globe. It seeks to invest primarily in loan and debt instruments. Avenue Income Credit Strategies Fund was formed on October 12, 2010 and is domiciled in the United States.",Asset Management
Independence Holdings Corp.,Mr. John Lawrence Furlong,1999,"Independence Holdings Corp. a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses or entities. The company was founded in 2020 and is based in New York, New York.",Shell Companies
Independence Holdings Corp.,Mr. John Lawrence Furlong,1964,"Independence Holdings Corp. a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses or entities. The company was founded in 2020 and is based in New York, New York.",Shell Companies
ACRES Commercial Realty Corp.,Mr. David J. Bryant,1962,"ACRES Commercial Realty Corp., a real estate investment trust (REIT), focuses on the origination, holding, and management of commercial real estate mortgage loans and other commercial real estate-related debt investments in the United States. It invests in commercial real estate-related assets, including floating and fixed rate first mortgage loans, first priority interests in first mortgage loans, subordinated interests in first mortgage loans, mezzanine debt, preferred equity investments, commercial mortgage-backed securities, and commercial real estate equity investments. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income tax to the extent that it distributes 100% of its REIT taxable income. The company was formerly known as Exantas Capital Corp. and changed its name to ACRES Commercial Realty Corp. in February 2021. ACRES Commercial Realty Corp. was incorporated in 2005 and is based in Westbury, New York.",REIT—Mortgage
Ares Commercial Real Estate Corporation,Mr. Bryan Patrick Donohoe,1996,"Ares Commercial Real Estate Corporation, a specialty finance company, originates and invests in commercial real estate (CRE) loans and related investments in the United States. It provides a range of financing solutions for the owners, operators, and sponsors of CRE properties. The company originates senior mortgage loans, subordinate debt products, mezzanine loans, real estate preferred equity investments, and other CRE investments, including commercial mortgage backed securities. Ares Commercial Real Estate Corporation has elected and qualified to be taxed as a real estate investment trust for the United States federal income tax purposes under the Internal Revenue Code of 1986. Ares Commercial Real Estate Management LLC operates as the manager of the company. The company was founded in 2011 and is headquartered in New York, New York.",REIT—Mortgage
"Aclaris Therapeutics, Inc.",Dr. Neal S. Walker D.O.,1950,"Aclaris Therapeutics, Inc. is a clinical-stage biopharmaceutical company developing a pipeline of novel, small molecule therapeutics to address the needs of patients with immuno-inflammatory diseases. The company has a multi-stage portfolio of drug candidates powered by a research and development engine exploring protein kinase regulation. Its products pipeline includes ATI-450, an investigational oral, novel, small molecule selective MK2 inhibitor compound, which is being developed as a treatment for moderate to severe rheumatoid arthritis and additional immuno-inflammatory diseases; ATI-1777, an investigational topical soft JAK 1/3 inhibitor compound, which is being developed as a treatment for moderate to severe atopic dermatitis; and ATI-2138, an investigational oral ITK/TXK/JAK3 inhibitor compound, which is being developed as a treatment for psoriasis and/or inflammatory bowel disease. It also provides contract research services. The company was incorporated in 2012 and is headquartered in Wayne, Pennsylvania.",Biotechnology
"AcelRx Pharmaceuticals, Inc.",Mr. Vincent J. Angotti,1956,"AcelRx Pharmaceuticals, Inc., a specialty pharmaceutical company, focuses on the development and commercialization of therapies for the treatment of acute pain. The company's lead product candidate is DSUVIA, a 30 mcg sufentanil sublingual tablet for the treatment of moderate-to-severe acute pain. It also develops ZALVISO, a pre-programmed and patient-controlled analgesia system that allows hospital patients with moderate-to-severe acute pain to self-dose with sufentanil sublingual tablets to manage their pain. The company was formerly known as SuRx, Inc. and changed its name to AcelRx Pharmaceuticals, Inc. in August 2006. AcelRx Pharmaceuticals, Inc. was founded in 2005 and is headquartered in Redwood City, California.",Drug Manufacturers—Specialty & Generic
Acasti Pharma Inc.,Ms. Janelle  D'Alvise,1984,"Acasti Pharma Inc., a biopharmaceutical company, engages in the development and commercialization of pharmaceutical products for cardiovascular diseases. It is evaluating strategic partnerships for the clinical development of CaPre, an omega-3 phospholipid therapeutic to treat patients with hypertriglyceridemia. The company was incorporated in 2002 and is headquartered in Laval, Canada.",Biotechnology
"Genworth Mortgage Holdings, Inc.",Mr. Rohit  Gupta,1980,"Enact Holdings, Inc. operates as a private mortgage insurance company in the United States. The company is involved in writing and assuming residential mortgage guaranty insurance. It offers private mortgage insurance products primarily insuring prime-based, individually underwritten residential mortgage loans; and contract underwriting services for mortgage lenders. The company was formerly known as Genworth Mortgage Holdings, Inc. and changed its name to Enact Holdings, Inc. in May 2021. Enact Holdings, Inc. was founded in 1981 and is headquartered in Raleigh, North Carolina. Enact Holdings, Inc. is a subsidiary of Genworth Holdings, Inc.",Insurance—Specialty
ArcLight Clean Transition Corp. II,Mr. John F. Erhard J.D.,1989,"ArcLight Clean Transition Corp. II intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2021 and is based in Boston, Massachusetts.",Shell Companies
Acacia Research Corporation,Mr. Clifford  Press,1991,"Acacia Research Corporation, together with its subsidiaries, intends to acquire undervalued businesses primarily in technology, life sciences, industrial, and financial services segments in the United States. The company also invests in intellectual property and related absolute return assets, as well as engages in the licensing and enforcement of patented technologies. Acacia Research Corporation was incorporated in 1993 and is based in New York, New York.",Specialty Business Services
Acme United Corporation,Mr. Walter C. Johnsen,1979,"Acme United Corporation, together with its subsidiaries, supplies cutting, measuring, first aid, sharpening, and safety products to the school, home, office, hardware, sporting good, and industrial markets in the United States, Canada, Europe, and Asia. It offers scissors, shears, rulers, pencil sharpeners, paper trimmers, safety cutters, lettering products, glue guns, and other craft products under the Westcott brand name; and cutting tools under the Clauss brand. It also provides fixed blades, folding knives, sight cutting tools, and tactical tools under the Camillus brand name; fishing tools and knives, as well as cut and puncture resistant gloves, telescopic landing nets, net containment systems, and fishing gaffs under the Cuda brand name; and sharpening tools under the DMT brand name. It offers first aid kit and safety solution under the First Aid Only brand; portable eyewash solution and over-the-counter medication, including active ingredients aspirin, acetaminophen, and ibuprofen under the PhysiciansCare brand; bodily fluid and spill clean-up solution under the Spill Magic brand; various first aid kit, refill, and safety supplies, including CPR kits, burn kits, and automotive and emergency survival kits under the First Aid Central; and alcohol prep pads, alcohol wipes, benzalkonium chloride wipes, various antiseptic wipes, castile soaps, and lens cleaning wipes under the Med-Nap brand. It sells its products directly and through its independent manufacturer representatives to wholesale, contract, and retail stationery distributors; office supply superstores; school supply distributors; industrial distributors; wholesale florists; mass market and e-commerce retailers; and hardware chains, as well as sells a selection of products through its websites. The company was formerly known as Acme Shear Company and changed its name to Acme United Corporation in 1971. The company was founded in 1867 and is based in Shelton, Connecticut.",Household & Personal Products
ACV Auctions Inc.,Mr. George G. Chamoun,1960,"ACV Auctions, Inc., operates a digital marketplace that connects buyers and sellers for the online auction of wholesale vehicles. It also provides data services that offer transparent and accurate vehicle information to customers. ACV Auctions, Inc. was incorporated in 2014 and is based in Buffalo, New York.",Software—Application
"Acurx Pharmaceuticals, Inc.",Mr. Robert J. DeLuccia,1974,"Acurx Pharmaceuticals, LLC, a clinical stage biopharmaceutical company, develops antibiotics to treat bacterial infections. Its lead antibiotic candidate is ibezapolstat, a novel mechanism of action that targets the polymerase IIIC enzyme that has completed Phase II clinical trial to treat patients with clostridium difficile infections. The company is also developing ACX-375C, a potential oral and parenteral treatment targeting gram-positive bacteria, including methicillin-resistant staphylococcus aureus, vancomycin-resistant enterococcus, and penicillin-resistant streptococcus pneumoniae. The company was founded in 2017 and is based in Staten Island, New York.",Biotechnology
AeroCentury Corp.,Mr. Yucheng  Hu,1996,"AeroCentury Corp., together with its subsidiaries, provides leasing and finance services to regional airlines worldwide. The company primarily engages in leasing its aircraft portfolio consisting of mid-life regional aircraft through operating and finance leases. It also sells aircraft from its operating lease portfolio to third parties, which include other leasing companies, financial services companies, and airlines. As of December 31, 2020, the company's aircraft portfolio consisted of six aircraft held for lease, seven aircraft held for sale, and two aircraft being sold in parts. AeroCentury Corp. was incorporated in 1997 and is headquartered in Burlingame, California.",Rental & Leasing Services
